X,Y,gid,Name,Description,tessellate
-73.1666666666667,-32.5966665691215,"1",Alfa (Farest UAV),FAF 3 GPS point,"-1"
-72.9666666666667,-32.4499999024548,"2",Bravo (Closest UAV),FAF 3 GPS point,"-1"
-72.6466666666667,-32.2216665691215,"3",Charlie (Bomb Drop),FAF 3 GPS point,"-1"
-72.606279,-32.192655,"4",Delta (MFU),FAF 3 GPS point,"-1"
-72.62385277777777,-32.20530277777778,"5",Delta 1 (MFU-Firing),FAF 3 GPS point,"-1"
-72.5416666666667,-32.4666665691215,"6",Echo (Riveros),FAF 3 GPS point,"-1"
-72.2166666666667,-32.6333332357882,"7",P1,Launch Safe Area,"-1"
-73.2,-32.6333332357882,"8",P2,Launch Safe Area,"-1"
-73.2,-31.8333332357882,"9",P3,Launch Safe Area,"-1"
-72.5333333333333,-31.8333332357882,"10",P4,Launch Safe Area,"-1"
-72.2166666666667,-31.9999999024548,"11",P5,Launch Safe Area,"-1"


